,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
29933,9008642,35190,BANKNIFTY20JUN14200CE,BANKNIFTY,0,2020-06-25,14200.0,0.05,20,CE,NFO-OPT,NFO
29934,9008898,35191,BANKNIFTY20JUN14200PE,BANKNIFTY,0,2020-06-25,14200.0,0.05,20,PE,NFO-OPT,NFO
29935,9009154,35192,BANKNIFTY20JUN14300CE,BANKNIFTY,0,2020-06-25,14300.0,0.05,20,CE,NFO-OPT,NFO
29936,9009922,35195,BANKNIFTY20JUN14300PE,BANKNIFTY,0,2020-06-25,14300.0,0.05,20,PE,NFO-OPT,NFO
29937,9010690,35198,BANKNIFTY20JUN14400CE,BANKNIFTY,0,2020-06-25,14400.0,0.05,20,CE,NFO-OPT,NFO
29938,9010946,35199,BANKNIFTY20JUN14400PE,BANKNIFTY,0,2020-06-25,14400.0,0.05,20,PE,NFO-OPT,NFO
29939,9119746,35624,BANKNIFTY20JUN14500CE,BANKNIFTY,0,2020-06-25,14500.0,0.05,20,CE,NFO-OPT,NFO
29940,9120002,35625,BANKNIFTY20JUN14500PE,BANKNIFTY,0,2020-06-25,14500.0,0.05,20,PE,NFO-OPT,NFO
29941,9121282,35630,BANKNIFTY20JUN14600CE,BANKNIFTY,0,2020-06-25,14600.0,0.05,20,CE,NFO-OPT,NFO
29942,9121538,35631,BANKNIFTY20JUN14600PE,BANKNIFTY,0,2020-06-25,14600.0,0.05,20,PE,NFO-OPT,NFO
29943,9121794,35632,BANKNIFTY20JUN14700CE,BANKNIFTY,0,2020-06-25,14700.0,0.05,20,CE,NFO-OPT,NFO
29944,9122050,35633,BANKNIFTY20JUN14700PE,BANKNIFTY,0,2020-06-25,14700.0,0.05,20,PE,NFO-OPT,NFO
29945,9122306,35634,BANKNIFTY20JUN14800CE,BANKNIFTY,0,2020-06-25,14800.0,0.05,20,CE,NFO-OPT,NFO
29946,9122562,35635,BANKNIFTY20JUN14800PE,BANKNIFTY,0,2020-06-25,14800.0,0.05,20,PE,NFO-OPT,NFO
29947,9122818,35636,BANKNIFTY20JUN14900CE,BANKNIFTY,0,2020-06-25,14900.0,0.05,20,CE,NFO-OPT,NFO
