,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
25637,24645890,96273,ACC20JUN1000CE,ACC,0,2020-06-25,1000.0,0.05,400,CE,NFO-OPT,NFO
25638,24646146,96274,ACC20JUN1000PE,ACC,0,2020-06-25,1000.0,0.05,400,PE,NFO-OPT,NFO
25639,24646402,96275,ACC20JUN1020CE,ACC,0,2020-06-25,1020.0,0.05,400,CE,NFO-OPT,NFO
25640,24646658,96276,ACC20JUN1020PE,ACC,0,2020-06-25,1020.0,0.05,400,PE,NFO-OPT,NFO
25641,24646914,96277,ACC20JUN1040CE,ACC,0,2020-06-25,1040.0,0.05,400,CE,NFO-OPT,NFO
25642,24647170,96278,ACC20JUN1040PE,ACC,0,2020-06-25,1040.0,0.05,400,PE,NFO-OPT,NFO
25643,24647426,96279,ACC20JUN1060CE,ACC,0,2020-06-25,1060.0,0.05,400,CE,NFO-OPT,NFO
25644,24647682,96280,ACC20JUN1060PE,ACC,0,2020-06-25,1060.0,0.05,400,PE,NFO-OPT,NFO
25645,24647938,96281,ACC20JUN1080CE,ACC,0,2020-06-25,1080.0,0.05,400,CE,NFO-OPT,NFO
25646,24648194,96282,ACC20JUN1080PE,ACC,0,2020-06-25,1080.0,0.05,400,PE,NFO-OPT,NFO
25647,24648450,96283,ACC20JUN1100CE,ACC,0,2020-06-25,1100.0,0.05,400,CE,NFO-OPT,NFO
25648,24648706,96284,ACC20JUN1100PE,ACC,0,2020-06-25,1100.0,0.05,400,PE,NFO-OPT,NFO
25649,24648962,96285,ACC20JUN1120CE,ACC,0,2020-06-25,1120.0,0.05,400,CE,NFO-OPT,NFO
25650,24649218,96286,ACC20JUN1120PE,ACC,0,2020-06-25,1120.0,0.05,400,PE,NFO-OPT,NFO
25651,24649474,96287,ACC20JUN1140CE,ACC,0,2020-06-25,1140.0,0.05,400,CE,NFO-OPT,NFO
25652,24649730,96288,ACC20JUN1140PE,ACC,0,2020-06-25,1140.0,0.05,400,PE,NFO-OPT,NFO
25653,24649986,96289,ACC20JUN1160CE,ACC,0,2020-06-25,1160.0,0.05,400,CE,NFO-OPT,NFO
25654,24650242,96290,ACC20JUN1160PE,ACC,0,2020-06-25,1160.0,0.05,400,PE,NFO-OPT,NFO
25655,24650498,96291,ACC20JUN1180CE,ACC,0,2020-06-25,1180.0,0.05,400,CE,NFO-OPT,NFO
25656,24650754,96292,ACC20JUN1180PE,ACC,0,2020-06-25,1180.0,0.05,400,PE,NFO-OPT,NFO
25657,24651010,96293,ACC20JUN1200CE,ACC,0,2020-06-25,1200.0,0.05,400,CE,NFO-OPT,NFO
25658,24651266,96294,ACC20JUN1200PE,ACC,0,2020-06-25,1200.0,0.05,400,PE,NFO-OPT,NFO
25659,24651522,96295,ACC20JUN1220CE,ACC,0,2020-06-25,1220.0,0.05,400,CE,NFO-OPT,NFO
25660,24651778,96296,ACC20JUN1220PE,ACC,0,2020-06-25,1220.0,0.05,400,PE,NFO-OPT,NFO
25661,24652034,96297,ACC20JUN1240CE,ACC,0,2020-06-25,1240.0,0.05,400,CE,NFO-OPT,NFO
25662,24652290,96298,ACC20JUN1240PE,ACC,0,2020-06-25,1240.0,0.05,400,PE,NFO-OPT,NFO
25663,24652546,96299,ACC20JUN1260CE,ACC,0,2020-06-25,1260.0,0.05,400,CE,NFO-OPT,NFO
25664,24652802,96300,ACC20JUN1260PE,ACC,0,2020-06-25,1260.0,0.05,400,PE,NFO-OPT,NFO
25665,24653058,96301,ACC20JUN1280CE,ACC,0,2020-06-25,1280.0,0.05,400,CE,NFO-OPT,NFO
25666,24653314,96302,ACC20JUN1280PE,ACC,0,2020-06-25,1280.0,0.05,400,PE,NFO-OPT,NFO
25667,24653570,96303,ACC20JUN1300CE,ACC,0,2020-06-25,1300.0,0.05,400,CE,NFO-OPT,NFO
25668,24653826,96304,ACC20JUN1300PE,ACC,0,2020-06-25,1300.0,0.05,400,PE,NFO-OPT,NFO
25669,24654082,96305,ACC20JUN1320CE,ACC,0,2020-06-25,1320.0,0.05,400,CE,NFO-OPT,NFO
25670,24654338,96306,ACC20JUN1320PE,ACC,0,2020-06-25,1320.0,0.05,400,PE,NFO-OPT,NFO
25671,24654594,96307,ACC20JUN1340CE,ACC,0,2020-06-25,1340.0,0.05,400,CE,NFO-OPT,NFO
25672,24654850,96308,ACC20JUN1340PE,ACC,0,2020-06-25,1340.0,0.05,400,PE,NFO-OPT,NFO
25673,24655106,96309,ACC20JUN1360CE,ACC,0,2020-06-25,1360.0,0.05,400,CE,NFO-OPT,NFO
25674,24655362,96310,ACC20JUN1360PE,ACC,0,2020-06-25,1360.0,0.05,400,PE,NFO-OPT,NFO
25675,10281474,40162,ACC20JUN1380CE,ACC,0,2020-06-25,1380.0,0.05,400,CE,NFO-OPT,NFO
25676,10281730,40163,ACC20JUN1380PE,ACC,0,2020-06-25,1380.0,0.05,400,PE,NFO-OPT,NFO
25677,10282498,40166,ACC20JUN1400CE,ACC,0,2020-06-25,1400.0,0.05,400,CE,NFO-OPT,NFO
25678,10282754,40167,ACC20JUN1400PE,ACC,0,2020-06-25,1400.0,0.05,400,PE,NFO-OPT,NFO
25679,8985090,35098,ACC20JUN1420CE,ACC,0,2020-06-25,1420.0,0.05,400,CE,NFO-OPT,NFO
25680,8985858,35101,ACC20JUN1420PE,ACC,0,2020-06-25,1420.0,0.05,400,PE,NFO-OPT,NFO
25681,9011202,35200,ACC20JUN1440CE,ACC,0,2020-06-25,1440.0,0.05,400,CE,NFO-OPT,NFO
25682,9011458,35201,ACC20JUN1440PE,ACC,0,2020-06-25,1440.0,0.05,400,PE,NFO-OPT,NFO
25683,9012738,35206,ACC20JUN1460CE,ACC,0,2020-06-25,1460.0,0.05,400,CE,NFO-OPT,NFO
25684,9012994,35207,ACC20JUN1460PE,ACC,0,2020-06-25,1460.0,0.05,400,PE,NFO-OPT,NFO
25685,10519554,41092,ACC20JUN1480CE,ACC,0,2020-06-25,1480.0,0.05,400,CE,NFO-OPT,NFO
25686,10519810,41093,ACC20JUN1480PE,ACC,0,2020-06-25,1480.0,0.05,400,PE,NFO-OPT,NFO
25687,10520578,41096,ACC20JUN1500CE,ACC,0,2020-06-25,1500.0,0.05,400,CE,NFO-OPT,NFO
25688,10521602,41100,ACC20JUN1500PE,ACC,0,2020-06-25,1500.0,0.05,400,PE,NFO-OPT,NFO
25689,10521858,41101,ACC20JUN1520CE,ACC,0,2020-06-25,1520.0,0.05,400,CE,NFO-OPT,NFO
25690,10522114,41102,ACC20JUN1520PE,ACC,0,2020-06-25,1520.0,0.05,400,PE,NFO-OPT,NFO
25691,10523394,41107,ACC20JUN1540CE,ACC,0,2020-06-25,1540.0,0.05,400,CE,NFO-OPT,NFO
25692,10523650,41108,ACC20JUN1540PE,ACC,0,2020-06-25,1540.0,0.05,400,PE,NFO-OPT,NFO
25693,24638722,96245,ACC20JUN720CE,ACC,0,2020-06-25,720.0,0.05,400,CE,NFO-OPT,NFO
25694,24638978,96246,ACC20JUN720PE,ACC,0,2020-06-25,720.0,0.05,400,PE,NFO-OPT,NFO
25695,24639234,96247,ACC20JUN740CE,ACC,0,2020-06-25,740.0,0.05,400,CE,NFO-OPT,NFO
25696,24639490,96248,ACC20JUN740PE,ACC,0,2020-06-25,740.0,0.05,400,PE,NFO-OPT,NFO
25697,24639746,96249,ACC20JUN760CE,ACC,0,2020-06-25,760.0,0.05,400,CE,NFO-OPT,NFO
25698,24640002,96250,ACC20JUN760PE,ACC,0,2020-06-25,760.0,0.05,400,PE,NFO-OPT,NFO
25699,24640258,96251,ACC20JUN780CE,ACC,0,2020-06-25,780.0,0.05,400,CE,NFO-OPT,NFO
25700,24640514,96252,ACC20JUN780PE,ACC,0,2020-06-25,780.0,0.05,400,PE,NFO-OPT,NFO
25701,24640770,96253,ACC20JUN800CE,ACC,0,2020-06-25,800.0,0.05,400,CE,NFO-OPT,NFO
25702,24641026,96254,ACC20JUN800PE,ACC,0,2020-06-25,800.0,0.05,400,PE,NFO-OPT,NFO
25703,24641282,96255,ACC20JUN820CE,ACC,0,2020-06-25,820.0,0.05,400,CE,NFO-OPT,NFO
25704,24641538,96256,ACC20JUN820PE,ACC,0,2020-06-25,820.0,0.05,400,PE,NFO-OPT,NFO
25705,24641794,96257,ACC20JUN840CE,ACC,0,2020-06-25,840.0,0.05,400,CE,NFO-OPT,NFO
25706,24642050,96258,ACC20JUN840PE,ACC,0,2020-06-25,840.0,0.05,400,PE,NFO-OPT,NFO
25707,24642306,96259,ACC20JUN860CE,ACC,0,2020-06-25,860.0,0.05,400,CE,NFO-OPT,NFO
25708,24642562,96260,ACC20JUN860PE,ACC,0,2020-06-25,860.0,0.05,400,PE,NFO-OPT,NFO
25709,24642818,96261,ACC20JUN880CE,ACC,0,2020-06-25,880.0,0.05,400,CE,NFO-OPT,NFO
25710,24643074,96262,ACC20JUN880PE,ACC,0,2020-06-25,880.0,0.05,400,PE,NFO-OPT,NFO
25711,24643330,96263,ACC20JUN900CE,ACC,0,2020-06-25,900.0,0.05,400,CE,NFO-OPT,NFO
25712,24643586,96264,ACC20JUN900PE,ACC,0,2020-06-25,900.0,0.05,400,PE,NFO-OPT,NFO
25713,24643842,96265,ACC20JUN920CE,ACC,0,2020-06-25,920.0,0.05,400,CE,NFO-OPT,NFO
25714,24644098,96266,ACC20JUN920PE,ACC,0,2020-06-25,920.0,0.05,400,PE,NFO-OPT,NFO
25715,24644354,96267,ACC20JUN940CE,ACC,0,2020-06-25,940.0,0.05,400,CE,NFO-OPT,NFO
25716,24644610,96268,ACC20JUN940PE,ACC,0,2020-06-25,940.0,0.05,400,PE,NFO-OPT,NFO
25717,24644866,96269,ACC20JUN960CE,ACC,0,2020-06-25,960.0,0.05,400,CE,NFO-OPT,NFO
25718,24645122,96270,ACC20JUN960PE,ACC,0,2020-06-25,960.0,0.05,400,PE,NFO-OPT,NFO
25719,24645378,96271,ACC20JUN980CE,ACC,0,2020-06-25,980.0,0.05,400,CE,NFO-OPT,NFO
25720,24645634,96272,ACC20JUN980PE,ACC,0,2020-06-25,980.0,0.05,400,PE,NFO-OPT,NFO
25721,11950082,46680,ACC20JUL1000CE,ACC,0,2020-07-30,1000.0,0.05,500,CE,NFO-OPT,NFO
25722,11950338,46681,ACC20JUL1000PE,ACC,0,2020-07-30,1000.0,0.05,500,PE,NFO-OPT,NFO
25723,11951106,46684,ACC20JUL1020CE,ACC,0,2020-07-30,1020.0,0.05,500,CE,NFO-OPT,NFO
25724,11951362,46685,ACC20JUL1020PE,ACC,0,2020-07-30,1020.0,0.05,500,PE,NFO-OPT,NFO
25725,11951874,46687,ACC20JUL1040CE,ACC,0,2020-07-30,1040.0,0.05,500,CE,NFO-OPT,NFO
25726,11952130,46688,ACC20JUL1040PE,ACC,0,2020-07-30,1040.0,0.05,500,PE,NFO-OPT,NFO
25727,11952386,46689,ACC20JUL1060CE,ACC,0,2020-07-30,1060.0,0.05,500,CE,NFO-OPT,NFO
25728,11952642,46690,ACC20JUL1060PE,ACC,0,2020-07-30,1060.0,0.05,500,PE,NFO-OPT,NFO
25729,11953154,46692,ACC20JUL1080CE,ACC,0,2020-07-30,1080.0,0.05,500,CE,NFO-OPT,NFO
25730,11953666,46694,ACC20JUL1080PE,ACC,0,2020-07-30,1080.0,0.05,500,PE,NFO-OPT,NFO
25731,11953922,46695,ACC20JUL1100CE,ACC,0,2020-07-30,1100.0,0.05,500,CE,NFO-OPT,NFO
25732,11954178,46696,ACC20JUL1100PE,ACC,0,2020-07-30,1100.0,0.05,500,PE,NFO-OPT,NFO
25733,11954690,46698,ACC20JUL1120CE,ACC,0,2020-07-30,1120.0,0.05,500,CE,NFO-OPT,NFO
25734,11954946,46699,ACC20JUL1120PE,ACC,0,2020-07-30,1120.0,0.05,500,PE,NFO-OPT,NFO
25735,11955202,46700,ACC20JUL1140CE,ACC,0,2020-07-30,1140.0,0.05,500,CE,NFO-OPT,NFO
25736,11955458,46701,ACC20JUL1140PE,ACC,0,2020-07-30,1140.0,0.05,500,PE,NFO-OPT,NFO
25737,11955714,46702,ACC20JUL1160CE,ACC,0,2020-07-30,1160.0,0.05,500,CE,NFO-OPT,NFO
25738,11955970,46703,ACC20JUL1160PE,ACC,0,2020-07-30,1160.0,0.05,500,PE,NFO-OPT,NFO
25739,11956226,46704,ACC20JUL1180CE,ACC,0,2020-07-30,1180.0,0.05,500,CE,NFO-OPT,NFO
25740,11956482,46705,ACC20JUL1180PE,ACC,0,2020-07-30,1180.0,0.05,500,PE,NFO-OPT,NFO
25741,11956738,46706,ACC20JUL1200CE,ACC,0,2020-07-30,1200.0,0.05,500,CE,NFO-OPT,NFO
25742,11957506,46709,ACC20JUL1200PE,ACC,0,2020-07-30,1200.0,0.05,500,PE,NFO-OPT,NFO
25743,11957762,46710,ACC20JUL1220CE,ACC,0,2020-07-30,1220.0,0.05,500,CE,NFO-OPT,NFO
25744,11958018,46711,ACC20JUL1220PE,ACC,0,2020-07-30,1220.0,0.05,500,PE,NFO-OPT,NFO
25745,11958274,46712,ACC20JUL1240CE,ACC,0,2020-07-30,1240.0,0.05,500,CE,NFO-OPT,NFO
25746,11958786,46714,ACC20JUL1240PE,ACC,0,2020-07-30,1240.0,0.05,500,PE,NFO-OPT,NFO
25747,11959042,46715,ACC20JUL1260CE,ACC,0,2020-07-30,1260.0,0.05,500,CE,NFO-OPT,NFO
25748,11959554,46717,ACC20JUL1260PE,ACC,0,2020-07-30,1260.0,0.05,500,PE,NFO-OPT,NFO
25749,11960322,46720,ACC20JUL1280CE,ACC,0,2020-07-30,1280.0,0.05,500,CE,NFO-OPT,NFO
25750,11960578,46721,ACC20JUL1280PE,ACC,0,2020-07-30,1280.0,0.05,500,PE,NFO-OPT,NFO
25751,11960834,46722,ACC20JUL1300CE,ACC,0,2020-07-30,1300.0,0.05,500,CE,NFO-OPT,NFO
25752,11961090,46723,ACC20JUL1300PE,ACC,0,2020-07-30,1300.0,0.05,500,PE,NFO-OPT,NFO
25753,11961346,46724,ACC20JUL1320CE,ACC,0,2020-07-30,1320.0,0.05,500,CE,NFO-OPT,NFO
25754,11961602,46725,ACC20JUL1320PE,ACC,0,2020-07-30,1320.0,0.05,500,PE,NFO-OPT,NFO
25755,11961858,46726,ACC20JUL1340CE,ACC,0,2020-07-30,1340.0,0.05,500,CE,NFO-OPT,NFO
25756,11962114,46727,ACC20JUL1340PE,ACC,0,2020-07-30,1340.0,0.05,500,PE,NFO-OPT,NFO
25757,11962370,46728,ACC20JUL1360CE,ACC,0,2020-07-30,1360.0,0.05,500,CE,NFO-OPT,NFO
25758,11962626,46729,ACC20JUL1360PE,ACC,0,2020-07-30,1360.0,0.05,500,PE,NFO-OPT,NFO
25759,11962882,46730,ACC20JUL1380CE,ACC,0,2020-07-30,1380.0,0.05,500,CE,NFO-OPT,NFO
25760,11963138,46731,ACC20JUL1380PE,ACC,0,2020-07-30,1380.0,0.05,500,PE,NFO-OPT,NFO
25761,11963906,46734,ACC20JUL1400CE,ACC,0,2020-07-30,1400.0,0.05,500,CE,NFO-OPT,NFO
25762,11964162,46735,ACC20JUL1400PE,ACC,0,2020-07-30,1400.0,0.05,500,PE,NFO-OPT,NFO
25763,11964418,46736,ACC20JUL1420CE,ACC,0,2020-07-30,1420.0,0.05,500,CE,NFO-OPT,NFO
25764,11964674,46737,ACC20JUL1420PE,ACC,0,2020-07-30,1420.0,0.05,500,PE,NFO-OPT,NFO
25765,11964930,46738,ACC20JUL1440CE,ACC,0,2020-07-30,1440.0,0.05,500,CE,NFO-OPT,NFO
25766,11965186,46739,ACC20JUL1440PE,ACC,0,2020-07-30,1440.0,0.05,500,PE,NFO-OPT,NFO
25767,11965442,46740,ACC20JUL1460CE,ACC,0,2020-07-30,1460.0,0.05,500,CE,NFO-OPT,NFO
25768,11965698,46741,ACC20JUL1460PE,ACC,0,2020-07-30,1460.0,0.05,500,PE,NFO-OPT,NFO
25769,11965954,46742,ACC20JUL1480CE,ACC,0,2020-07-30,1480.0,0.05,500,CE,NFO-OPT,NFO
25770,11966210,46743,ACC20JUL1480PE,ACC,0,2020-07-30,1480.0,0.05,500,PE,NFO-OPT,NFO
25771,11966466,46744,ACC20JUL1500CE,ACC,0,2020-07-30,1500.0,0.05,500,CE,NFO-OPT,NFO
25772,11966722,46745,ACC20JUL1500PE,ACC,0,2020-07-30,1500.0,0.05,500,PE,NFO-OPT,NFO
25773,11966978,46746,ACC20JUL1520CE,ACC,0,2020-07-30,1520.0,0.05,500,CE,NFO-OPT,NFO
25774,11967234,46747,ACC20JUL1520PE,ACC,0,2020-07-30,1520.0,0.05,500,PE,NFO-OPT,NFO
25775,11967490,46748,ACC20JUL1540CE,ACC,0,2020-07-30,1540.0,0.05,500,CE,NFO-OPT,NFO
25776,11968514,46752,ACC20JUL1540PE,ACC,0,2020-07-30,1540.0,0.05,500,PE,NFO-OPT,NFO
25777,11925506,46584,ACC20JUL780CE,ACC,0,2020-07-30,780.0,0.05,500,CE,NFO-OPT,NFO
25778,11926274,46587,ACC20JUL780PE,ACC,0,2020-07-30,780.0,0.05,500,PE,NFO-OPT,NFO
25779,11926530,46588,ACC20JUL800CE,ACC,0,2020-07-30,800.0,0.05,500,CE,NFO-OPT,NFO
25780,11934978,46621,ACC20JUL800PE,ACC,0,2020-07-30,800.0,0.05,500,PE,NFO-OPT,NFO
25781,11935490,46623,ACC20JUL820CE,ACC,0,2020-07-30,820.0,0.05,500,CE,NFO-OPT,NFO
25782,11940866,46644,ACC20JUL820PE,ACC,0,2020-07-30,820.0,0.05,500,PE,NFO-OPT,NFO
25783,11941634,46647,ACC20JUL840CE,ACC,0,2020-07-30,840.0,0.05,500,CE,NFO-OPT,NFO
25784,11941890,46648,ACC20JUL840PE,ACC,0,2020-07-30,840.0,0.05,500,PE,NFO-OPT,NFO
25785,11942146,46649,ACC20JUL860CE,ACC,0,2020-07-30,860.0,0.05,500,CE,NFO-OPT,NFO
25786,11942914,46652,ACC20JUL860PE,ACC,0,2020-07-30,860.0,0.05,500,PE,NFO-OPT,NFO
25787,11943682,46655,ACC20JUL880CE,ACC,0,2020-07-30,880.0,0.05,500,CE,NFO-OPT,NFO
25788,11943938,46656,ACC20JUL880PE,ACC,0,2020-07-30,880.0,0.05,500,PE,NFO-OPT,NFO
25789,11946498,46666,ACC20JUL900CE,ACC,0,2020-07-30,900.0,0.05,500,CE,NFO-OPT,NFO
25790,11947522,46670,ACC20JUL900PE,ACC,0,2020-07-30,900.0,0.05,500,PE,NFO-OPT,NFO
25791,11948034,46672,ACC20JUL920CE,ACC,0,2020-07-30,920.0,0.05,500,CE,NFO-OPT,NFO
25792,11948290,46673,ACC20JUL920PE,ACC,0,2020-07-30,920.0,0.05,500,PE,NFO-OPT,NFO
25793,11948546,46674,ACC20JUL940CE,ACC,0,2020-07-30,940.0,0.05,500,CE,NFO-OPT,NFO
25794,11948802,46675,ACC20JUL940PE,ACC,0,2020-07-30,940.0,0.05,500,PE,NFO-OPT,NFO
25795,11949058,46676,ACC20JUL960CE,ACC,0,2020-07-30,960.0,0.05,500,CE,NFO-OPT,NFO
25796,11949314,46677,ACC20JUL960PE,ACC,0,2020-07-30,960.0,0.05,500,PE,NFO-OPT,NFO
25797,11949570,46678,ACC20JUL980CE,ACC,0,2020-07-30,980.0,0.05,500,CE,NFO-OPT,NFO
25798,11949826,46679,ACC20JUL980PE,ACC,0,2020-07-30,980.0,0.05,500,PE,NFO-OPT,NFO
25799,12102914,47277,ACC20AUG1000CE,ACC,0,2020-08-27,1000.0,0.05,500,CE,NFO-OPT,NFO
25800,12103170,47278,ACC20AUG1000PE,ACC,0,2020-08-27,1000.0,0.05,500,PE,NFO-OPT,NFO
25801,12103426,47279,ACC20AUG1020CE,ACC,0,2020-08-27,1020.0,0.05,500,CE,NFO-OPT,NFO
25802,12103682,47280,ACC20AUG1020PE,ACC,0,2020-08-27,1020.0,0.05,500,PE,NFO-OPT,NFO
25803,12103938,47281,ACC20AUG1040CE,ACC,0,2020-08-27,1040.0,0.05,500,CE,NFO-OPT,NFO
25804,12104194,47282,ACC20AUG1040PE,ACC,0,2020-08-27,1040.0,0.05,500,PE,NFO-OPT,NFO
25805,12104450,47283,ACC20AUG1060CE,ACC,0,2020-08-27,1060.0,0.05,500,CE,NFO-OPT,NFO
25806,12104706,47284,ACC20AUG1060PE,ACC,0,2020-08-27,1060.0,0.05,500,PE,NFO-OPT,NFO
25807,12104962,47285,ACC20AUG1080CE,ACC,0,2020-08-27,1080.0,0.05,500,CE,NFO-OPT,NFO
25808,12105730,47288,ACC20AUG1080PE,ACC,0,2020-08-27,1080.0,0.05,500,PE,NFO-OPT,NFO
