,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
51397,11848194,46282,NIFTY20JUN10000CE,NIFTY,0,2020-06-25,10000.0,0.05,75,CE,NFO-OPT,NFO
51398,11848450,46283,NIFTY20JUN10000PE,NIFTY,0,2020-06-25,10000.0,0.05,75,PE,NFO-OPT,NFO
51399,24591106,96059,NIFTY20JUN10050CE,NIFTY,0,2020-06-25,10050.0,0.05,75,CE,NFO-OPT,NFO
51400,24591362,96060,NIFTY20JUN10050PE,NIFTY,0,2020-06-25,10050.0,0.05,75,PE,NFO-OPT,NFO
51401,11849218,46286,NIFTY20JUN10100CE,NIFTY,0,2020-06-25,10100.0,0.05,75,CE,NFO-OPT,NFO
51402,11849474,46287,NIFTY20JUN10100PE,NIFTY,0,2020-06-25,10100.0,0.05,75,PE,NFO-OPT,NFO
51403,24591618,96061,NIFTY20JUN10150CE,NIFTY,0,2020-06-25,10150.0,0.05,75,CE,NFO-OPT,NFO
51404,24591874,96062,NIFTY20JUN10150PE,NIFTY,0,2020-06-25,10150.0,0.05,75,PE,NFO-OPT,NFO
51405,11849730,46288,NIFTY20JUN10200CE,NIFTY,0,2020-06-25,10200.0,0.05,75,CE,NFO-OPT,NFO
51406,11850242,46290,NIFTY20JUN10200PE,NIFTY,0,2020-06-25,10200.0,0.05,75,PE,NFO-OPT,NFO
51407,10270722,40120,NIFTY20JUN10250CE,NIFTY,0,2020-06-25,10250.0,0.05,75,CE,NFO-OPT,NFO
51408,10271490,40123,NIFTY20JUN10250PE,NIFTY,0,2020-06-25,10250.0,0.05,75,PE,NFO-OPT,NFO
51409,11851010,46293,NIFTY20JUN10300CE,NIFTY,0,2020-06-25,10300.0,0.05,75,CE,NFO-OPT,NFO
51410,11851266,46294,NIFTY20JUN10300PE,NIFTY,0,2020-06-25,10300.0,0.05,75,PE,NFO-OPT,NFO
51411,10886658,42526,NIFTY20JUN10350CE,NIFTY,0,2020-06-25,10350.0,0.05,75,CE,NFO-OPT,NFO
51412,10886914,42527,NIFTY20JUN10350PE,NIFTY,0,2020-06-25,10350.0,0.05,75,PE,NFO-OPT,NFO
51413,11851522,46295,NIFTY20JUN10400CE,NIFTY,0,2020-06-25,10400.0,0.05,75,CE,NFO-OPT,NFO
51414,11851778,46296,NIFTY20JUN10400PE,NIFTY,0,2020-06-25,10400.0,0.05,75,PE,NFO-OPT,NFO
51415,10887170,42528,NIFTY20JUN10450CE,NIFTY,0,2020-06-25,10450.0,0.05,75,CE,NFO-OPT,NFO
51416,10887426,42529,NIFTY20JUN10450PE,NIFTY,0,2020-06-25,10450.0,0.05,75,PE,NFO-OPT,NFO
51417,11852290,46298,NIFTY20JUN10500CE,NIFTY,0,2020-06-25,10500.0,0.05,75,CE,NFO-OPT,NFO
51418,11852546,46299,NIFTY20JUN10500PE,NIFTY,0,2020-06-25,10500.0,0.05,75,PE,NFO-OPT,NFO
51419,10887682,42530,NIFTY20JUN10550CE,NIFTY,0,2020-06-25,10550.0,0.05,75,CE,NFO-OPT,NFO
51420,10887938,42531,NIFTY20JUN10550PE,NIFTY,0,2020-06-25,10550.0,0.05,75,PE,NFO-OPT,NFO
51421,11852802,46300,NIFTY20JUN10600CE,NIFTY,0,2020-06-25,10600.0,0.05,75,CE,NFO-OPT,NFO
51422,11853570,46303,NIFTY20JUN10600PE,NIFTY,0,2020-06-25,10600.0,0.05,75,PE,NFO-OPT,NFO
51423,10289154,40192,NIFTY20JUN10650CE,NIFTY,0,2020-06-25,10650.0,0.05,75,CE,NFO-OPT,NFO
51424,10289410,40193,NIFTY20JUN10650PE,NIFTY,0,2020-06-25,10650.0,0.05,75,PE,NFO-OPT,NFO
51425,11853826,46304,NIFTY20JUN10700CE,NIFTY,0,2020-06-25,10700.0,0.05,75,CE,NFO-OPT,NFO
51426,11854082,46305,NIFTY20JUN10700PE,NIFTY,0,2020-06-25,10700.0,0.05,75,PE,NFO-OPT,NFO
51427,10289666,40194,NIFTY20JUN10750CE,NIFTY,0,2020-06-25,10750.0,0.05,75,CE,NFO-OPT,NFO
51428,10289922,40195,NIFTY20JUN10750PE,NIFTY,0,2020-06-25,10750.0,0.05,75,PE,NFO-OPT,NFO
51429,11854338,46306,NIFTY20JUN10800CE,NIFTY,0,2020-06-25,10800.0,0.05,75,CE,NFO-OPT,NFO
51430,11854594,46307,NIFTY20JUN10800PE,NIFTY,0,2020-06-25,10800.0,0.05,75,PE,NFO-OPT,NFO
51431,11533058,45051,NIFTY20JUN10850CE,NIFTY,0,2020-06-25,10850.0,0.05,75,CE,NFO-OPT,NFO
51432,11533314,45052,NIFTY20JUN10850PE,NIFTY,0,2020-06-25,10850.0,0.05,75,PE,NFO-OPT,NFO
51433,9463298,36966,NIFTY20JUN10900CE,NIFTY,0,2020-06-25,10900.0,0.05,75,CE,NFO-OPT,NFO
