,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,24645890,96273,ACC20JUN1000CE,ACC,0.0,2020-06-25,1000.0,0.05,400,CE,NFO-OPT,NFO
1,24646146,96274,ACC20JUN1000PE,ACC,0.0,2020-06-25,1000.0,0.05,400,PE,NFO-OPT,NFO
2,24646402,96275,ACC20JUN1020CE,ACC,0.0,2020-06-25,1020.0,0.05,400,CE,NFO-OPT,NFO
3,24646658,96276,ACC20JUN1020PE,ACC,0.0,2020-06-25,1020.0,0.05,400,PE,NFO-OPT,NFO
4,24646914,96277,ACC20JUN1040CE,ACC,0.0,2020-06-25,1040.0,0.05,400,CE,NFO-OPT,NFO
5,24647170,96278,ACC20JUN1040PE,ACC,0.0,2020-06-25,1040.0,0.05,400,PE,NFO-OPT,NFO
6,24647426,96279,ACC20JUN1060CE,ACC,0.0,2020-06-25,1060.0,0.05,400,CE,NFO-OPT,NFO
7,24647682,96280,ACC20JUN1060PE,ACC,0.0,2020-06-25,1060.0,0.05,400,PE,NFO-OPT,NFO
8,24647938,96281,ACC20JUN1080CE,ACC,0.0,2020-06-25,1080.0,0.05,400,CE,NFO-OPT,NFO
9,24648194,96282,ACC20JUN1080PE,ACC,0.0,2020-06-25,1080.0,0.05,400,PE,NFO-OPT,NFO
10,24648450,96283,ACC20JUN1100CE,ACC,0.0,2020-06-25,1100.0,0.05,400,CE,NFO-OPT,NFO
11,24648706,96284,ACC20JUN1100PE,ACC,0.0,2020-06-25,1100.0,0.05,400,PE,NFO-OPT,NFO
12,24648962,96285,ACC20JUN1120CE,ACC,0.0,2020-06-25,1120.0,0.05,400,CE,NFO-OPT,NFO
13,24649218,96286,ACC20JUN1120PE,ACC,0.0,2020-06-25,1120.0,0.05,400,PE,NFO-OPT,NFO
14,24649474,96287,ACC20JUN1140CE,ACC,0.0,2020-06-25,1140.0,0.05,400,CE,NFO-OPT,NFO
15,24649730,96288,ACC20JUN1140PE,ACC,0.0,2020-06-25,1140.0,0.05,400,PE,NFO-OPT,NFO
16,24649986,96289,ACC20JUN1160CE,ACC,0.0,2020-06-25,1160.0,0.05,400,CE,NFO-OPT,NFO
17,24650242,96290,ACC20JUN1160PE,ACC,0.0,2020-06-25,1160.0,0.05,400,PE,NFO-OPT,NFO
18,24650498,96291,ACC20JUN1180CE,ACC,0.0,2020-06-25,1180.0,0.05,400,CE,NFO-OPT,NFO
19,24650754,96292,ACC20JUN1180PE,ACC,0.0,2020-06-25,1180.0,0.05,400,PE,NFO-OPT,NFO
20,24651010,96293,ACC20JUN1200CE,ACC,0.0,2020-06-25,1200.0,0.05,400,CE,NFO-OPT,NFO
21,24651266,96294,ACC20JUN1200PE,ACC,0.0,2020-06-25,1200.0,0.05,400,PE,NFO-OPT,NFO
22,24651522,96295,ACC20JUN1220CE,ACC,0.0,2020-06-25,1220.0,0.05,400,CE,NFO-OPT,NFO
23,24651778,96296,ACC20JUN1220PE,ACC,0.0,2020-06-25,1220.0,0.05,400,PE,NFO-OPT,NFO
24,24652034,96297,ACC20JUN1240CE,ACC,0.0,2020-06-25,1240.0,0.05,400,CE,NFO-OPT,NFO
25,24652290,96298,ACC20JUN1240PE,ACC,0.0,2020-06-25,1240.0,0.05,400,PE,NFO-OPT,NFO
26,24652546,96299,ACC20JUN1260CE,ACC,0.0,2020-06-25,1260.0,0.05,400,CE,NFO-OPT,NFO
27,24652802,96300,ACC20JUN1260PE,ACC,0.0,2020-06-25,1260.0,0.05,400,PE,NFO-OPT,NFO
28,24653058,96301,ACC20JUN1280CE,ACC,0.0,2020-06-25,1280.0,0.05,400,CE,NFO-OPT,NFO
29,24653314,96302,ACC20JUN1280PE,ACC,0.0,2020-06-25,1280.0,0.05,400,PE,NFO-OPT,NFO
30,24653570,96303,ACC20JUN1300CE,ACC,0.0,2020-06-25,1300.0,0.05,400,CE,NFO-OPT,NFO
31,24653826,96304,ACC20JUN1300PE,ACC,0.0,2020-06-25,1300.0,0.05,400,PE,NFO-OPT,NFO
32,24654082,96305,ACC20JUN1320CE,ACC,0.0,2020-06-25,1320.0,0.05,400,CE,NFO-OPT,NFO
33,24654338,96306,ACC20JUN1320PE,ACC,0.0,2020-06-25,1320.0,0.05,400,PE,NFO-OPT,NFO
34,24654594,96307,ACC20JUN1340CE,ACC,0.0,2020-06-25,1340.0,0.05,400,CE,NFO-OPT,NFO
35,24654850,96308,ACC20JUN1340PE,ACC,0.0,2020-06-25,1340.0,0.05,400,PE,NFO-OPT,NFO
36,24655106,96309,ACC20JUN1360CE,ACC,0.0,2020-06-25,1360.0,0.05,400,CE,NFO-OPT,NFO
37,24655362,96310,ACC20JUN1360PE,ACC,0.0,2020-06-25,1360.0,0.05,400,PE,NFO-OPT,NFO
38,10281474,40162,ACC20JUN1380CE,ACC,0.0,2020-06-25,1380.0,0.05,400,CE,NFO-OPT,NFO
39,10281730,40163,ACC20JUN1380PE,ACC,0.0,2020-06-25,1380.0,0.05,400,PE,NFO-OPT,NFO
40,10282498,40166,ACC20JUN1400CE,ACC,0.0,2020-06-25,1400.0,0.05,400,CE,NFO-OPT,NFO
41,10282754,40167,ACC20JUN1400PE,ACC,0.0,2020-06-25,1400.0,0.05,400,PE,NFO-OPT,NFO
42,8985090,35098,ACC20JUN1420CE,ACC,0.0,2020-06-25,1420.0,0.05,400,CE,NFO-OPT,NFO
43,8985858,35101,ACC20JUN1420PE,ACC,0.0,2020-06-25,1420.0,0.05,400,PE,NFO-OPT,NFO
44,9011202,35200,ACC20JUN1440CE,ACC,0.0,2020-06-25,1440.0,0.05,400,CE,NFO-OPT,NFO
45,9011458,35201,ACC20JUN1440PE,ACC,0.0,2020-06-25,1440.0,0.05,400,PE,NFO-OPT,NFO
46,9012738,35206,ACC20JUN1460CE,ACC,0.0,2020-06-25,1460.0,0.05,400,CE,NFO-OPT,NFO
47,9012994,35207,ACC20JUN1460PE,ACC,0.0,2020-06-25,1460.0,0.05,400,PE,NFO-OPT,NFO
